name,affiliations,author_id,cited_by,interests
Afshin Rahimi,Applied Scientist @ Amazon,WhPw2I0AAAAJ,1292,Natural Language Processing
Alberto Tonon,"PhD Student, University of Fribourg",zBYcXUMAAAAJ,467,"Computer Science, Information Retrieval, Semantic Web"
Alessandro Checco,Computer Science Department - University of Rome La Sapienza,crhkrNcAAAAJ,902,"Human Computation, Crowdsourcing, Graph Theory, Markov Chains, Wireless Networks"
Andrea Brunello,Università degli Studi di Udine,GuteS00AAAAJ,280,"Data science, machine learning, evolutionary computation, data modelling, databases"
Andrew Turpin,Lions Eye Institute and Curtin University,lCZblDwAAAAJ,6881,"Human vision, Computer vision, Information Science, Data Analysis"
Arkaitz Zubiaga,Queen Mary University of London,IUb-xxMAAAAJ,6598,"Social Media Mining, Social Data Science, Natural Language Processing, Computational Social Science, Computational Journalism"
Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,144,
Carlo Alberto Beltrami,"Professore, Università di Udine",EZrMWWMAAAAJ,18390,cellule staminali
Carlo Tasso,Full Professor in Computer Science,ITxRmxIAAAAJ,3642,"Artificial Intelligence, Web Intelligence, Semantic Web"
Claudio Carpineto,Fondazione Ugo Bordoni,MnwqYB8AAAAJ,5533,"information retrieval, data mining, artificial intelligence, formal concept analysis, data privacy"
Claudiu S. Firan,,SRc8aowAAAAJ,1742,
Cristina Sarasua,University of Zurich,i_2lvZwAAAAJ,767,"CSCW, Digital Democracy, Civic Technology, Data Analytics, Knowledge Graphs"
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2484,"Information Retrieval, Text Analytics, Data Science, Evaluation, Human-AI Fact-checking"
Dante Degl'Innocenti,Datamantix,Ay6L7NsAAAAJ,117,"Artificial Intelligence, Deep Learning, Natural Language Processing, Data Science, Machine Learning"
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,139,Computer Science
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,497,"Information Quality, Trust, Semantic Web, Probabilistic Logic, Provenance"
Djellel Difallah,"Assistant Professor, Computer Science, NYU Abu Dhabi",K5d-OHEAAAAJ,3091,"Crowdsourcing systems, Data science, Big Data systems"
"Dr. Wasim Ahmed, PhD",Senior Lecturer in Marketing,JduIcrAAAAAJ,2170,"Disinformation, Twitter, Digital Business, Social Network Analysis, Health Informatics"
Eddy Maddalena,"Università degli Studi di Udine, Italy",egHDpFkAAAAJ,553,"Information Retrieval, Crowdsourcing, Data Science, Human Computation, Web science"
Edgar Meij,Bloomberg,vb6YKF0AAAAJ,3137,"Information Retrieval, Semantich Search, Machine Learning"
Elena Nazzi,"PhD student in Interaction Design, IT University of Copenhagen",krOJM2sAAAAJ,175,"Interaction Design, Social Computing, Tangible Computing, Internet of Things, Embodied Interaction"
Elena Simperl,"Professor of computer science, King's College London, United Kingdom",xB7s3wgAAAAJ,7001,"knowledge graphs, knowledge engineering, open data, social computing, human computation"
Fabio Crestani,"Faculty of Informatics, Universitá della Svizzera Italiana (USI), Lugano, Switzerland",EoGBsiMAAAAJ,10234,"Information Retrieval, Data Science, Text Mining, Digital Libraries"
Falk Scholer,"School of Computing Technologies, RMIT University",qOLjlqsAAAAJ,4641,"Information retrieval, search, … transparency and ethics of algorithms AI and …, data science, dat"
Flora Salim,"Professor, Cisco Chair of Digital Transport, Computer Science and Engineering, UNSW",Yz35RSYAAAAJ,3933,"Machine Learning, Artificial Intelligence, Ubiquitous Computing, Time Series, Mobility Data Science"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5350,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Giorgio Brajnik,"Associate Professor of User Centered Development, Computer science, University of Udine …",a-qHaRIAAAAJ,3582,"Usability, Accessibility, Use Experience, Model-based Engineering of User Interfaces"
Giuseppe Primiero,"Department of Philosophy, University of Milan",srKA534AAAAJ,1120,"Logic, Philosophy of Computer Science"
Giuseppe Serra,"Associate Professor of Computer Science, University of Udine",xz1J-xQAAAAJ,5332,"Machine Learning, Artificial Intelligence, Multimedia, NLP, Multimedia Forensics"
Hideo Joho,"Professor, Institute of Library, Information and Media Science, University of Tsukuba",8W8gwisAAAAJ,3884,"Information Retrieval, Interactive Information Retrieval, Human Information Interaction, User"
J. Shane Culpepper,The University of Queensland,OFlBSEEAAAAJ,3143,"Information Retrieval, Search, Algorithms, Machine Learning"
Jan Wielemaker,"Researcher in Computer Science, VU University Amsterdam",7J1vJdEAAAAJ,5058,"Logic programming, Semantic web"
Joel Mackenzie,The University of Queensland,3jQ1Zh4AAAAJ,640,"Information Retrieval, Web Search, Algorithms, Information Systems"
Johanne R. Trippas,"Vice-Chancellor's Research Fellow, School of Computing Technologies, RMIT University",x483lssAAAAJ,976,"Information Retrieval, Conversational Interfaces, Spoken Interaction Design, Conversational Search, Human Computer Interaction"
Jon Hare,"NOAA Fisheries, Northeast Fisheries Science Center",d_HvmVsAAAAJ,12281,"oceanography, fisheries, climate change, management"
Jorge Carrillo-de-Albornoz,"Researcher in Computer Science, UNED",8yHMQqoAAAAJ,1384,"Sentiment Analysis, Opinion Mining, Online Reputation Management, Negation Detection, Natural Language Processing"
Julio Gonzalo,"Full professor of Computer Science, UNED",opFCmpYAAAAJ,6081,"Natural Language Processing, Information Retrieval, Artificial Intelligence"
Karl Aberer,"Professor of Computer and Communication Sciences, EPFL",ifU81ikAAAAJ,23826,"Social Media, Data Management, Data Integration, Trust Management, Semantic Web"
Kevin Roitero,University of Udine,1xd52jMAAAAJ,690,"Artificial Intelligence, Crowdsourcing and Human Computation, Information Retrieval"
Laura Sbaffi,"Senior Lecturer, Information School, University of Sheffield",TMKfR4AAAAAJ,3382,"Social care, trust in information, information literacy"
Lawrence Cavedon,"School of Computing Technologies, RMIT University",ZAEiiEUAAAAJ,5894,"Data Science, artificial intelligence, spoken dialogue, biomedical text mining"
Leihan Tang,"Professor of Physics, Hong Kong Baptist University",kYTmdEMAAAAJ,6648,"Statistical Physics, Biological Physics, Computational Physics, Systems Biology, Quantitative Modeling"
Luca Di Gaspero,"Associate Professor of Information Technology, University of Udine",fIES7P0AAAAJ,3658,"Artificial Intelligence, Operations Research, Data Analytics, Metaheuristics"
Luis-Daniel Ibáñez,University of Southampton,Vf-AkkUAAAAJ,690,"Linked Data, Collaborative Systems, Optimistic Replication, Provenance Semirings, Update Exchange"
Maarten de Rijke,University of Amsterdam & ICAI,AVDkgFIAAAAJ,36754,Information retrieval
Maddalena Zippi,"Unita' di Gastroenterologia ed Endoscopia Digestiva, ospedale Sandro Pertini, Roma",j8YC3TAAAAAJ,1744,"endoscopia digestiva diagnostica e opertiva, endoscopia vie biliari, malattie infiammatorie croniche intestinali, malattie panc"
Marco Basaldella,Amazon,SRvx2QoAAAAJ,518,
Marco Pavan,"PhD in Computer Science, University of Udine",-UudVuUAAAAJ,112,"Data Mining, Information Retrieval, Artificial intelligence"
Mark R. Sanderson,"Visiting Professor, St. George's University of London",hTob0R4AAAAJ,15652,"Structural Biology, topoisomerases, nucleic acid interacting proteins"
Mattia Zeni,"Databricks, TomTom, IBM Research, University of Trento, Create-net",DL18RZEAAAAJ,608,"Big Data, AI, Machine Learning, Human-Centered AI, Privacy-Aware Machine Learning"
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,210,"Computer Science, Crowdsourcing"
Michele Catasta,VP of AI at Replit,ZxfOSWMAAAAJ,5978,"Large Language Models, AI4Code, Machine Learning, Information Retrieval, Data Science"
Mihai Horia Popescu,PhD student,7VIbKlEAAAAJ,45,"Machine learning, medical informatics, Explainable Artificial Intelligence (XAI)"
Mounia Lalmas,Spotify,wAr9G5sAAAAJ,10824,Personalization.
Omar Alonso,Amazon,VvLUqbkAAAAJ,4295,"Information Retrieval, Crowdsourcing, Social search, Knowledge graphs"
Paolo Coppola,"Associate Professor of Computer Science, University of Udine",P15-SKkAAAAJ,533,"Type theory, lambda calculus, computational complexity, context aware computing, mobile computing"
Pavlos Vougiouklis,Huawei Technologies,9J7YeR0AAAAJ,579,
Peter A Bath,University of Sheffield,-ExSN_IAAAAJ,7122,"Health Informatics, Health Data Science, Information behaviours, Older people, online sharing"
Philippe Cudre-Mauroux,"Full Professor (Computer Science), U. of Fribourg–Switzerland",NpccCXwAAAAJ,9305,"Big Data, Graph Data, Infrastructures for AI, Emergent Semantics"
Raquel Manzano Martinez,Neuroscientist. Lecturer in Genetics. University of Zaragoza.,a1H9MxgAAAAJ,11784,… Lateral Sclerosis. Spinal and Bulbar Muscular …
Richard Gomer,"Professor of Biology, Texas A&M University",z1YBrC4AAAAJ,10323,"fibrosis, Dictyostelium, cell density sensing"
Rishabh Mehrotra,"Director - Machine Learning, ShareChat",X9BKWWoAAAAJ,2266,"Machine Learning, Recommender Systems, Marketplace"
Ryen W. White,"General Manager, Deputy Lab Director, Microsoft Research",U69fiZMAAAAJ,20319,"Information Retrieval, Human-Computer Interaction, Artificial Intelligence, Psychology, Health"
Shaoyang Fan,The University of Queensland,uF87D5kAAAAJ,80,"Crowdsourcing, Human computation, Information Retrieval, Data Mining"
Shazia Sadiq,The University of Queensland,1Jo0EmIAAAAJ,10230,"Data Quality Management, Business Process Management, … Risk and Compliance in Information Systems, Service Systems"
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4738,"Information retrieval, mobile systems, scholarly publishing, crowdsourcing, misinformation and fake news detection"
Tereza Iofciu,L3S,wQgkh-4AAAAJ,1213,"machine learning, artificial intelligence, data science"
Tetsuya Sakai,Waseda University,vi56gz4AAAAJ,6614,"information retrieval, natural language processing, human computer interaction"
Tim Draws,OTTO,UTMHOZMAAAAJ,1201,"Human-Computer Interaction, Web Search, Research Methods"
Ujwal Gadiraju,"Assistant Professor, Web Information Systems, Delft University of Technology",FX7BF6QAAAAJ,3257,"Human-centered AI, Crowd Computing, Human-Computer Interaction, Information Retrieval, Conversational Interfaces"
Vanessa De Luca,"Research Associate, SUPSI",HZl2KP0AAAAJ,420,Interaction Design
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2886,"medical informatics, telemedicine, digital pathology, biomedical classifications and ontologies"
Víctor Fresno,Associate Professor of Computer Science (UNED),X_95ZxEAAAAJ,1555,"Document Representation, Natural Language Processing, Machine Learning, Compositional Distributional Semantics"
W. Bruce Croft,"Distinguished Professor Emeritus, University of Massachusetts Amherst",ArV74ZMAAAAJ,64172,Information Retrieval
Wolfgang Nejdl,"Professor of Computer Science, Leibniz Universität Hannover, L3S Research Center …",LC62bdYAAAAJ,25448,"Information Retrieval, Web Science, Social Media, Data Mining, Semantic Technologies"
Yongli Ren,"School of Computing Technologies, RMIT University",ZZl7bW8AAAAJ,1269,"Recommender System, Data Mining, Fog Computing, Data Science, Data Analysis"
Yunke Qu,The University of Queensland,oup2M48AAAAJ,11,"Recommender Systems, Data Mining, Information Retrieval"
